Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank,Gender,Ethnicity,Child's First Name,Sub1,Sub2,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,IRENE,20,28,Female,Asian And Pacific Islander,Irene,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KAYLEE,20,28,Female,Asian And Pacific Islander,Kaylee,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,NATALIE,20,28,Female,Asian And Pacific Islander,Natalie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SHARON,20,28,Female,Asian And Pacific Islander,Sharon,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AUDREY,19,29,Female,Asian And Pacific Islander,Audrey,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ERICA,19,29,Female,Asian And Pacific Islander,Erica,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MADISON,19,29,Female,Asian And Pacific Islander,Madison,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SOFIA,19,29,Female,Asian And Pacific Islander,Sofia,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ZAHRA,19,29,Female,Asian And Pacific Islander,Zahra,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,EILEEN,18,30,Female,Asian And Pacific Islander,Eileen,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JENNIFER,18,30,Female,Asian And Pacific Islander,Jennifer,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JESSIE,18,30,Female,Asian And Pacific Islander,Jessie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KATIE,18,30,Female,Asian And Pacific Islander,Katie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,PHOEBE,18,30,Female,Asian And Pacific Islander,Phoebe,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,RACHEL,18,30,Female,Asian And Pacific Islander,Rachel,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,XIN,18,30,Female,Asian And Pacific Islander,Xin,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALLISON,17,31,Female,Asian And Pacific Islander,Allison,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AYESHA,17,31,Female,Asian And Pacific Islander,Ayesha,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,EVELYN,17,31,Female,Asian And Pacific Islander,Evelyn,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MARYAM,17,31,Female,Asian And Pacific Islander,Maryam,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MILA,17,31,Female,Asian And Pacific Islander,Mila,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SERENA,17,31,Female,Asian And Pacific Islander,Serena,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,BELLA,16,32,Female,Asian And Pacific Islander,Bella,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,HAILEY,16,32,Female,Asian And Pacific Islander,Hailey,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,LEAH,16,32,Female,Asian And Pacific Islander,Leah,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,LILLIAN,16,32,Female,Asian And Pacific Islander,Lillian,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SYEDA,16,32,Female,Asian And Pacific Islander,Syeda,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,WENDY,16,32,Female,Asian And Pacific Islander,Wendy,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ARIANA,15,33,Female,Asian And Pacific Islander,Ariana,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ELIZABETH,15,33,Female,Asian And Pacific Islander,Elizabeth,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JOCELYN,15,33,Female,Asian And Pacific Islander,Jocelyn,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,LILY,15,33,Female,Asian And Pacific Islander,Lily,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,QUEENIE,15,33,Female,Asian And Pacific Islander,Queenie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,VANESSA,15,33,Female,Asian And Pacific Islander,Vanessa,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AMELIA,14,34,Female,Asian And Pacific Islander,Amelia,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANIKA,14,34,Female,Asian And Pacific Islander,Anika,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CHARLOTTE,14,34,Female,Asian And Pacific Islander,Charlotte,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CINDY,14,34,Female,Asian And Pacific Islander,Cindy,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CYNTHIA,14,34,Female,Asian And Pacific Islander,Cynthia,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JANICE,14,34,Female,Asian And Pacific Islander,Janice,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JOY,14,34,Female,Asian And Pacific Islander,Joy,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KATELYN,14,34,Female,Asian And Pacific Islander,Katelyn,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TINA,14,34,Female,Asian And Pacific Islander,Tina,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ZARA,14,34,Female,Asian And Pacific Islander,Zara,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ADA,13,35,Female,Asian And Pacific Islander,Ada,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AISHA,13,35,Female,Asian And Pacific Islander,Aisha,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALEXANDRA,13,35,Female,Asian And Pacific Islander,Alexandra,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AMBER,13,35,Female,Asian And Pacific Islander,Amber,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,BRIANNA,13,35,Female,Asian And Pacific Islander,Brianna,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ERIN,13,35,Female,Asian And Pacific Islander,Erin,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,GIANNA,13,35,Female,Asian And Pacific Islander,Gianna,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JANNAT,13,35,Female,Asian And Pacific Islander,Jannat,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,LAUREN,13,35,Female,Asian And Pacific Islander,Lauren,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MELODY,13,35,Female,Asian And Pacific Islander,Melody,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,REBECCA,13,35,Female,Asian And Pacific Islander,Rebecca,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SELENA,13,35,Female,Asian And Pacific Islander,Selena,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,YU,13,35,Female,Asian And Pacific Islander,Yu,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALEENA,12,36,Female,Asian And Pacific Islander,Aleena,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALIYAH,12,36,Female,Asian And Pacific Islander,Aliyah,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ARIA,12,36,Female,Asian And Pacific Islander,Aria,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ARYA,12,36,Female,Asian And Pacific Islander,Arya,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CECILIA,12,36,Female,Asian And Pacific Islander,Cecilia,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CHRISTY,12,36,Female,Asian And Pacific Islander,Christy,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,DIYA,12,36,Female,Asian And Pacific Islander,Diya,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ELENA,12,36,Female,Asian And Pacific Islander,Elena,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ERIKA,12,36,Female,Asian And Pacific Islander,Erika,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ISABEL,12,36,Female,Asian And Pacific Islander,Isabel,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JIA,12,36,Female,Asian And Pacific Islander,Jia,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MANDY,12,36,Female,Asian And Pacific Islander,Mandy,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MINA,12,36,Female,Asian And Pacific Islander,Mina,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SHIRLEY,12,36,Female,Asian And Pacific Islander,Shirley,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ARIANNA,11,37,Female,Asian And Pacific Islander,Arianna,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CHRISTINE,11,37,Female,Asian And Pacific Islander,Christine,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,DAISY,11,37,Female,Asian And Pacific Islander,Daisy,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ELINA,11,37,Female,Asian And Pacific Islander,Elina,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ESHAL,11,37,Female,Asian And Pacific Islander,Eshal,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ISABELLE,11,37,Female,Asian And Pacific Islander,Isabelle,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KAITLYN,11,37,Female,Asian And Pacific Islander,Kaitlyn,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KYLIE,11,37,Female,Asian And Pacific Islander,Kylie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,RAINA,11,37,Female,Asian And Pacific Islander,Raina,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,STELLA,11,37,Female,Asian And Pacific Islander,Stella,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AIZA,10,38,Female,Asian And Pacific Islander,Aiza,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALEXA,10,38,Female,Asian And Pacific Islander,Alexa,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALISHA,10,38,Female,Asian And Pacific Islander,Alisha,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANGIE,10,38,Female,Asian And Pacific Islander,Angie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANNABELLE,10,38,Female,Asian And Pacific Islander,Annabelle,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,BONNIE,10,38,Female,Asian And Pacific Islander,Bonnie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,HELEN,10,38,Female,Asian And Pacific Islander,Helen,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KATE,10,38,Female,Asian And Pacific Islander,Kate,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,LEELA,10,38,Female,Asian And Pacific Islander,Leela,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MAGGIE,10,38,Female,Asian And Pacific Islander,Maggie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MEGAN,10,38,Female,Asian And Pacific Islander,Megan,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,RENEE,10,38,Female,Asian And Pacific Islander,Renee,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TANISHA,10,38,Female,Asian And Pacific Islander,Tanisha,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,BLACK NON HISPANIC,MADISON,176,1,Female,Black Non Hispanic,Madison,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,LONDON,92,2,Female,Black Non Hispanic,London,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,KAYLA,78,3,Female,Black Non Hispanic,Kayla,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,CHLOE,72,4,Female,Black Non Hispanic,Chloe,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,AALIYAH,69,5,Female,Black Non Hispanic,Aaliyah,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,MAKAYLA,67,6,Female,Black Non Hispanic,Makayla,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,NEVAEH,60,7,Female,Black Non Hispanic,Nevaeh,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,GABRIELLE,55,8,Female,Black Non Hispanic,Gabrielle,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,TAYLOR,53,9,Female,Black Non Hispanic,Taylor,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,JADA,52,10,Female,Black Non Hispanic,Jada,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,OLIVIA,52,10,Female,Black Non Hispanic,Olivia,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,SERENITY,52,10,Female,Black Non Hispanic,Serenity,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,ABIGAIL,51,11,Female,Black Non Hispanic,Abigail,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,FATOUMATA,51,11,Female,Black Non Hispanic,Fatoumata,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,FAITH,46,12,Female,Black Non Hispanic,Faith,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,NYLA,43,13,Female,Black Non Hispanic,Nyla,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,ZOE,43,13,Female,Black Non Hispanic,Zoe,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,KHLOE,42,14,Female,Black Non Hispanic,Khloe,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,NYLAH,42,14,Female,Black Non Hispanic,Nylah,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,SAVANNAH,42,14,Female,Black Non Hispanic,Savannah,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,AVA,40,15,Female,Black Non Hispanic,Ava,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,SARAH,40,15,Female,Black Non Hispanic,Sarah,Black Non Hisp,Black Non Hispanic,
2011,FEMALE,BLACK NON HISPANIC,LAILA,39,16,Female,Black Non Hispanic,Laila,Black Non Hisp,Black Non Hispanic,
